geo,name,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
bwa,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.53333,,,,,8.6,,,,,8.66667,,,,,8.8,,,,,8.93333,,,,,14.73333,,,,,15.26667,,,,,26,,,,,36.8,38.66667,40,41.33333,43.33333,44.66667,46,47.33333,48.66667,49.33333,50.66667,51.33333,52.66667,53.33333,54,55.33333,56,56.66667,57.33333,58.66667,59.33333,59.33333,60,60.66667,61.33333,61.33333,62,62
caf,Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,2.4,,,,,2.73333,,,,,3.13333,,,,,3.8,,,,,5,,,,,6.8,,,,,9.93333,,,,,13.73333,14,14.66667,15.33333,16,16,16.66667,17.33333,18,18.66667,19.33333,19.33333,20,20.66667,21.33333,22,22,22.66667,22.66667,23.33333,24,24.66667,25.33333,26.66667,27.33333,28,28.66667,28.66667
can,Canada,16.13333,,,,,16.93333,,,,,17.86667,,,,,18.73333,,,,,19.8,,,,,20.73333,,,,,24.2,,,,,27.53333,,,,,30.6,,,,,33.66667,,,,,36.4,,,,,39.26667,,,,,41.73333,,,,,44.6,,,,,46.4,,,,,48.66667,,,,,49.26667,,,,,51.66667,,,,,53.73333,,,,,55.46667,,,,,57.73333,,,,,61.2,,,,,65.6,,,,,65.53333,,,,,68.53333,68.66667,69.33333,70,70.66667,70.66667,71.33333,72,72,72.66667,73.33333,74.66667,76.66667,78,80,81.33333,82,82.66667,82.66667,83.33333,84,84.66667,85.33333,86,86.66667,87.33333,87.33333,88.66667
che,Switzerland,25.93333,,,,,27,,,,,28.13333,,,,,29.4,,,,,30.8,,,,,32.33333,,,,,34,,,,,35.4,,,,,38.53333,,,,,41.2,,,,,43.73333,,,,,46.66667,,,,,49.2,,,,,51.66667,,,,,53.86667,,,,,56.2,,,,,57.73333,,,,,58.66667,,,,,59.4,,,,,61.93333,,,,,65.06667,,,,,68.93333,,,,,73.2,,,,,69.13333,,,,,67.93333,64.66667,64.66667,64.66667,65.33333,65.33333,67.33333,69.33333,72,74,76,77.33333,78,78.66667,79.33333,80,82,84,86,88.66667,88.66667,88.66667,89.33333,89.33333,89.33333,89.33333,89.33333,89.33333
chl,Chile,2.13333,,,,,2.6,,,,,3.13333,,,,,3.73333,,,,,4.2,,,,,4.6,,,,,8.66667,,,,,11.4,,,,,14.33333,,,,,17.66667,,,,,20.33333,,,,,23.46667,,,,,25.8,,,,,28.33333,,,,,29.66667,,,,,30.93333,,,,,31.26667,,,,,32.6,,,,,33.33333,,,,,35.33333,,,,,38.66667,,,,,40,,,,,42.66667,,,,,48.2,,,,,53.46667,54,54.66667,55.33333,55.33333,56,56.66667,57.33333,57.33333,58,58.66667,60,61.33333,62.66667,64,63.33333,63.33333,62.66667,66,66,65.33333,65.33333,66,66,67.33333,68.66667,68.66667,68.66667
chn,China,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.13333,,,,,0.2,,,,,0.33333,,,,,0.46667,,,,,1,,,,,1.6,,,,,2.2,,,,,3.06667,,,,,4.33333,,,,,7.26667,,,,,10.33333,,,,,14.8,,,,,18.46667,,,,,23.2,,,,,27.73333,,,,,31.86667,,,,,35.6,33.33333,34.66667,35.33333,36.66667,38,38.66667,40,41.33333,42,43.33333,43.33333,44,44.66667,45.33333,46,46,46.66667,46.66667,47.33333,48.66667,49.33333,50,50,50.66667,51.33333,52,52
civ,Cote d'Ivoire,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.13333,,,,,0.13333,,,,,0.66667,,,,,1.06667,,,,,1.53333,,,,,2,,,,,2.46667,,,,,2.53333,,,,,2.73333,,,,,2.86667,,,,,3.2,,,,,3.53333,,,,,4.2,,,,,5.06667,,,,,6.26667,,,,,8.6,,,,,11.26667,,,,,13.6,14,14.66667,15.33333,16,16.66667,17.33333,18.66667,20,20.66667,22,22,22.66667,23.33333,24,24.66667,25.33333,26,26.66667,27.33333,28,29.33333,30,31.33333,29.33333,33.33333,34,34.66667
cmr,Cameroon,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.13333,,,,,0.13333,,,,,0.2,,,,,0.33333,,,,,0.46667,,,,,0.53333,,,,,0.6,,,,,0.93333,,,,,1.26667,,,,,1.6,,,,,2.2,,,,,2.8,,,,,3.33333,,,,,4.06667,,,,,5.46667,,,,,6.53333,,,,,8.6,,,,,10.4,,,,,14.13333,,,,,18.6,,,,,23.13333,24,24.66667,26,26.66667,28,28.66667,29.33333,30.66667,31.33333,32,32.66667,34,34,34,34,34.66667,34.66667,34.66667,34.66667,35.33333,36.66667,38,39.33333,40,40.66667,42,42
cod,"Congo, Dem. Rep.",0.06667,,,,,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.13333,,,,,0.2,,,,,0.26667,,,,,0.33333,,,,,0.33333,,,,,0.6,,,,,0.8,,,,,1.2,,,,,1.53333,,,,,2.13333,,,,,2.73333,,,,,3.4,,,,,4.33333,,,,,5.46667,,,,,6.8,,,,,8.53333,,,,,11,,,,,15,16,16.66667,18,18.66667,19.33333,20,20.66667,20.66667,21.33333,22,23.33333,24.66667,26,27.33333,28.66667,30,32,33.33333,34.66667,36,37.33333,38.66667,40,41.33333,42.66667,44,45.33333
cog,"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66667,,,,,2.8,,,,,3.86667,,,,,4.73333,,,,,7.66667,,,,,10.13333,,,,,16.33333,,,,,21.6,,,,,29.26667,30,31.33333,32,33.33333,34,34.66667,35.33333,36,36.66667,36.66667,37.33333,38,38,38.66667,38.66667,39.33333,39.33333,40,40,40.66667,41.33333,41.33333,42,42,42,42,42
col,Colombia,1.73333,,,,,2,,,,,2.26667,,,,,2.6,,,,,3,,,,,3.33333,,,,,4.93333,,,,,6.2,,,,,7.33333,,,,,8.8,,,,,10.06667,,,,,11.53333,,,,,12.6,,,,,13.93333,,,,,14.8,,,,,15.86667,,,,,14.93333,,,,,16.8,,,,,18.53333,,,,,20.53333,,,,,22.53333,,,,,25.73333,,,,,28.4,,,,,31.93333,,,,,36.4,37.33333,38,38.66667,40,40.66667,41.33333,42,42,42.66667,43.33333,43.33333,43.33333,43.33333,44,45.33333,44.66667,48,48.66667,48.66667,49.33333,50,50.66667,52,53.33333,54,55.33333,55.33333
